"Decision by","Case number/name",Jurisdiction,"Date of decision","Relevant GDPR articles","Relevant EU laws","Relevant national/other laws","Type of decision & outcome",Fine,Parties,Contributor,Summary
"Court: PVN",PVN-2023-03,Norway,15.09.2023,55,,"Section 21a of the Norwegian Health Personnel Act
Section 20 of the Norwegian Personal Data Act",,,Datatilsynets,ar,"The Norwegian Privacy Appeals Board (Personvernnemnda) ruled that the transmission of the complainant's health information to a third person during a court proceeding fell outside the  scope of the GDPR. In fact, their privacy had been sufficiently safeguarded by Norwegian Administration of Justice laws."
"DPA: ANSPDCP (Romania)",26.09.2023,Romania,,"32(1)(b), 32(1)(d)",,"Article 4 (5) Law 506/2004 (implementing ePrivacy Directive)","Investigation → Violation Found","33000 EUR",,maxinescu,"An energy company,  Restart Energy One S.A., failed to implement the appropriate technical and organisational measures leading to a data breach affecting at least 750 data subjects, in violation of Articles 32(1)(b) and 32(1)(d) GDPR. The Romanian DPA fined the controller €25,000 as a result. In addition, the company was fined €8,000 for failing to comply with cookie requirements under Law 506/2004 (implementing the ePrivacy Directive)."
"CJEU (Court of Justice of the European Union)","C-659/22 Ministerstvo zdravotnictví (Application mobile Covid-19)","European Union",05.10.2023,4(2),,,,,,mg,"The CJEU held that scanning COVID certificates by means of a governmental app constitutes ‘processing’ of personal data pursuant to Article 4(2) GDPR."
"DPA: Tietosuojavaltuutetun toimisto (Finland)","7732/161/23 (2)",Finland,,"3(2), 4(22), 44, 46, 58, 58(2)(f), 60, 66",,,"Investigation → Other Outcome",,"Ridetech International BV
Yandex LLC",ar,"The Finnish DPA revoked the urgent procedure under Article 66 GDPR, which ordered a taxi service company to suspend data transfers from Finland to Russia. But it decided that a further examination of the issue in the context of Article 60 GDPR should be carried out."
"Court: LAG Düsseldorf","12 Sa 18/23",Germany,26.04.2023,82,,,,,,mg,"A German court held that the surveillance of an employee by means of a private detective gives rise to non-material damages under Article 82 GDPR, even if no further negative consequence was claimed by the data subject."
"Court: LG München I","5 O 5853/22",Germany,,"5(1)(f), 32(1)",,,,,,Julia,"A German court held that a controller shall implement technical and organisational measures to protect data processed in the context of the controller-processor relationship, even after the termination of contractual arrangements between them."
"Court: First-tier Tribunal","2023 UKFTT 778 GRC","United Kingdom",25.09.2023,5(1)(a),,"Freedom of Information Act",,,"Information Comissioner","Sainey Belle","The First-tier Tribunal held that a request made under the Freedom of Information Act was unjustified as it did not satisfy the necessity test under Article 5(1) UK GDPR."
"DPA: AKI (Estonia)","101 Complaint (12.10.2023)",Estonia,12.10.2023,"44, 60",,,"Complaint → Upheld",,,mg,"The Estonian DPA upheld a complaint filed by noyb and declared that the controller transferred personal data to the U.S. in lack of any legal basis under the GDPR. The controller was ordered to stop the processing."
"DPA: CNIL (France)",SAN-2023-014,France,,4(11),,"Article 82 Loi Informatiques et Libertés","Investigation → Other Outcome",,VOODOO,ar,"Following its decision from 29 December 2022, the French DPA found that VOODOO, a game developer, complied with its order to obtain users consent for the use of the IDFV (""Identifier For Vendors"") within the arranged time limit."
"DPA: AEPD (Spain)",AI/00289/2023,Spain,11.10.2023,60,,"Artículo 22 LSSI","Complaint → Rejected",,"CaixaBank S.A.",co,"The Spanish DPA (AEPD) issued a decision on the processing of personal data by CaixaBank S.A., the controller,  holding that the design of a cookie banner respected its “Guidelines on the use of cookies” of 2020."
"DPA: UODO (Poland)",DKN.5131.43.2022,Poland,12.07.2023,"5(2), 33, 34",,,"Investigation → Violation Found","11790 PLN",,kiki,"The Polish DPA imposed a fine of €2,640 against a controller for not notifying data subjects of a breach and for not informing the DPA within the 72 hour time-limit, in violation of Articles 33 and 34 GDPR. Furthermore, the controller breached the principle of accountability, as they were unable to demonstrate compliance."
"Court: First-tier Tribunal","Clearview AI Inc. v ICO","United Kingdom",17.10.2023,3(2)(b),,"Article 2(1)(a) UK GDPR
Article 3(2A) UK GDPR",,,"Clearview AI Inc.
ICO (UK)",mg,"A British court did not apply the UK GDPR because the controller’s (Clearview AI) processing activities concerned the performance of a service on behalf of law enforcement agencies in third countries."
"Court: OVG RLP","7 B 10360/23",Germany,20.06.2023,"6(1)(e), 6(1)(f)",,"German Road Traffic Licensing Regulations",,,"VG Mainz","Sainey Belle","A German court held that a car owner is obliged to disclose the identity of the car driver in light of the public authority's legitimate interest to prosecute traffic offences under Article 6(1)(f) GDPR ."
"DPA: HDPA (Greece)",28/2023,Greece,24.07.2023,58(2),,"National Law 4624/2019 (Article 15) Paragraph 8",Other,,"Municipality X (To ensure the confidentiality of the specific municipality, the term ""X"" is employed as a placeholder.)",Inder,"{DISPLAYTITLE:HDPA (Greece) - 28/2023}  The HDPA ordered a city council in Greece to cease their processing activities, under Article 58(2) GDPR and Article 15(8) of Law 4624/2019, because of an unresolved data breach, which allowed unauthorised users to access citizens' personal data via URL manipulation."
"CJEU (Court of Justice of the European Union)","Case C-291/12 Michael Schwarz v Stadt Bochum","European Union",17.10.2013,,"Article 1(2) Council Regulation (EC) No 2252/2004
Article 2(b) Directive 95/46/EC
Article 8 Charter of Fundamental Rights of the European Union
Article 7 Charter of Fundamental Rights of the European Union",,,,"Michael Schwarz
Stadt Bochum",Annkathrin.a.dix,"The Court of the European Union held that the taking and storage of fingerprints for passports does not unlawfully infringe upon the right to the protection of personal data and private life."
"DPA: IMY (Sweden)",DI-2021-5774,Sweden,,"5(1)(a), 5(1)(c), 6(1), 13",,,"Complaint → Upheld",,,sh,"The Swedish DPA fined the Education Board in the City of Stockholm 800,000 SEK (around €68,324) for processing personal data through camera surveillance at a school, in violation of Articles 5(1)(a), 5(1)(c), 6(1) and 13 GDPR."
"DPA: Garante per la protezione dei dati personali (Italy)",9938463,Italy,31.08.2023,"5(1)(d), 5(1)(f), 5(1)(a), 9, 12, 15, 16, 17, 18, 32",,,"Complaint → Upheld","10000 EUR",,ar,"The Italian DPA fined a medical centre €10,000 after a complaint was lodged by the data subject. It was found that the PCR test results of the data subject contained incorrect personal data, breaching Article 5(1)(a) GDPR and Article 5(1)(d) GDPR. Furthermore, since the result was first mistakenly sent to the e-mail address of an unauthorised third party, the controller also breached Article 9 GDPR, as well as Article 5(1)(f) GDPR and Article 32 GDPR."
"Court: VSL (Slovenia)",9267/2022,Slovenia,27.07.2023,12,,,,,,ar,"The Ljubljana Higher Court dismissed an appeal brought by the data subject, a defendant in a criminal proceeding, who claimed that the footage of the video surveillance cameras could not be used as evidence since the cameras lacked notice of information. The Court considered the interests at stake and admitted the evidence."
"CJEU (Court of Justice of the European Union)","C-543/09 Deutsche Telekom AG v Bundesrepublik Deutschland","European Union",05.05.2011,,"Article 12 Directive 2002/58/EC
Article 25(2) Directive 2002/22/EC
Article 8 Charter of Fundamental Rights of the European Union","Paragraph 104 Telekommunikationsgesetz
Paragraph 105 Telekommunikationsgesetz
Paragraph 47(1) Telekommunikationsgesetz",,,"Deutsche Telekom AG
Bundesrepublik Deutschland",Annkathrin.a.dix,"The Court of Justice of the European Union held that telecommunications companies can share subscriber data with directory services. Data sharing must comply with informed consent and be used solely for its intended publication."
"CJEU (Court of Justice of the European Union)","C‑293/12 and C‑594/12 Digital Rights Ireland Ltd v Minister for Communications, Marine and Natural Resources and Others and Kärntner Landesregierung and Others","European Union",08.04.2014,,"Article 3 Directive 2006/24/EC
Article 7 Charter of Fundamental Rights of the European Union
Article 8","Paragraph 102a Telecommunications Act 2003
Part 7 Criminal Justice (Terrorist Offences) Act 2005",,,"Digital Rights Ireland Ltd
Minister for Communications, Marine and Natural Resources
Minister for Justice, Equality and Law Reform
Commissioner of the Garda Síochána
Ireland
Kärntner Landesregierung
Christof Tschohl and others
Attorney General
Michael Seitlinger",Annkathrin.a.dix,"The Court of Justice of the European Union held that the Data Retention Directive is invalid as it infringes upon the right to privacy and the right to the protection of personal data."
"Court: VGH München","4 ZB 23.1056",Germany,04.09.2023,"6(1)(e), 6(3), 21(1)",,"Article 24(4) Municipal Code of the Free State of Bavaria",,,,Lacrosse,"The Munich Superior Administrative Court (Bayerischer Verwaltungsgerichtshof - VGH) held that the right to object under Article 21(1) GDPR does not apply to preparatory measures for the installation of electronic water meters, as this does not constitute processing of personal data."
"CJEU (Court of Justice of the European Union)","C‑307/22 Copies of Medical Records","European Union",26.10.2023,"12(5), 15(1), 15(3), 23(1)(i)",,,,,,sh,"The CJEU ruled that Data Subject Access Requests are not limited by recital 63 GDPR. Article 12(5), 15(1) and 15(3) GDPR impose an obligation on a controller to provide the data subject, free of charge, with a first copy of his or her personal data."
"DPA: ANSPDCP (Romania)",24.10.2023,Romania,,"32(1)(b), 32(1)(d), 32(2)",,,"Complaint → Upheld","3000 EUR",,maxinescu,"An online platform selling IT products was fined €3,000 for a data breach, which led to unauthorised disclosure of its clients' personal data."
"Court: Personvernnemnda",Pvn-2023-05,Norway,,"6(1), 13",,,,,,sh,"The Norwegian Data Protection Appeals Board overturned a reprimand from the Norwegian DPA. While the municipality still breached Article 13 GDPR, they did have a valid legal basis for processing under Article 6(1)(c) GDPR."
"DPA: HDPA (Greece)",31/2023,Greece,11.10.2023,5(1)(c),,,"Complaint → Upheld","1000 EUR",,Inder-kahlon,"DEYA X violated GDPR's data minimization principle Article 5(1)(c) by sharing an employee's personal and health data with multiple recipients without proper justification. The HDPA ordered DEYA X to create internal policies to ensure GDPR compliance. A fine of 1,000 euros was also imposed."
"DPA: IDPC (Malta)",CDP/COMP/344/2022,Malta,,"4(7), 5(2), 12(1), 12(3), 15(1), 15(3), 24(1), 24(2), 38(1), 38(1), 39(1)",,,"Complaint → Upheld","2500 EUR",,"Sainey Belle","The Maltese DPA fined a school €2,500 for failing to respond to an access request within the time frame and having no appropriate internal measures to handle personal data."
"DPA: Garante per la protezione dei dati personali (Italy)",9936136,Italy,,"5(1)(e), 6(1)(f), 9, 12, 13, 14, 32, 35, 35, 36, 46",,"Article 110 Codice Privacy","Advisory Opinion",,"Daiichi Sankyo",ar,"Following a request for prior consultation under Article 36 GDPR, the Italian DPA authorised the company Daiichi Sankyo to process the health data of around 200 patients for a study promoting treatment improvements on breast cancer."
"DPA: IDPC (Malta)",CDP/COMP/577/2023,Malta,,"4(1), 77",,,"Complaint → Rejected",,,"Sainey Belle","The Maltese DPA rejected a complaint due to a lack of concrete evidence from the data subject."
"Court: LG Berlin","16 O 420/19",Germany,24.08.2023,"6(1)(a), 4(11), 21(5)",,UWG,,,"LinkedIn
Verbraucherzentrale Bundesverband e.V.",co,"The Regional Court of Berlin (Landgericht Berlin, LG Berlin) held that LinkedIn engaged in unfair commercial practices, also in violation of the GDPR, by not considering the use of “do not track” settings as an objection to processing and by pre-ticking the “off-LinkedIn visibility” setting when users first set up an account."
"DPA: ANSPDCP (Romania)",3.11.2023,Romania,,"32, 33",,,"Investigation → Violation Found","3000 EUR",,maxinescu,"OTP Bank Romania SA, a Romanian financial institution was sanctioned with a fine of EUR 3,000 for the failure to adopt technical and organizational measures under Article 32 GDPR and with a warning for the failure to notify a data breach under Article 33 GDPR."
"Court: Cass.Civ. (Italy)",27189/2023,Italy,14.09.2023,83,,"Article 10 of Legislative Decree No 150 of 2011
Article 166 of the Italian Privacy Code",,,"Garante per la Protezione dei Dati Personali",ar,"The Italian Supreme Court ruled that the fine imposed by the Italian DPA on a delivery company was not excessive and did not breach Article 83 GDPR. In its judgment, the Supreme Court further clarified the criteria for administrative sanctions under the GDPR."
"DPA: IDPC (Malta)",CPD/COMP/280/2023,Malta,24.07.2023,"5(1)(f), 32(1)(b)",,,"Complaint → Upheld",,,nho23,"The Maltese DPA decided that a controller, sending personal schoolwork to a data subject's personal email adress with other people in the ""cc"", is an infringement of Article 5(1)(f) and 32(1)(b) GDPR."
"CJEU (Court of Justice of the European Union)","C‑319/22 Gesamtverband Autoteile-Handel (Access to vehicle information)","European Union",09.11.2023,"4(1), 6(1)(c)",,,,,,sh,"The CJEU held that Vehicle Identification Numbers taken as such, are not personal in nature. However, they become personal data when someone (a natural person) who has access to it has the means to identify the owner of the vehicle."
"DPA: IMY (Sweden)",DI-2020-10545,Sweden,,"6(1), 12(2), 12(3), 21(3)",,,"Complaint → Upheld",,,sh,"The Swedish DPA found H&M to have processed personal data for direct marketing in violation of Articles 6(1), 12(2), 12(3) and 21(3) of the GDPR."
"Court: Administrative Court Stockholm","Mål nr 1930-23",Sweden,,32(1),,,,,"Hälso- och sjukvårdsnämnden i Region Dalarna
Integritetsskyddsmyndigheten",sh,"A Court, upheld the Swedish DPA’s decision to fine the medical board of Region Darlana for breaching Article 32(1) when summoning patients to healthcare appointments by mail."
"CJEU (Court of Justice of the European Union)","C‑333/22 Ligue des droits humains ASBL,  BA  v  Organe de contrôle de l’information policiè","European Union",16.11.2023,,"Article 17 Directive 2016/680
Article 17(3) Directive 2016/680",,,,,sh,"The CJEU decided that data subjects are entitled to an effective remedy against legally binding decisions, even when a supervisory authority excercises a data subject's rights on their behalf to a controller under Directive 2016/680."
"DPA: ANSPDCP (Romania)",13.11.2023,Romania,,"32(1)(b), 32(2)",,,"Investigation → Violation Found","100000 EUR",https://www.rompetrol.com/,maxinescu,"Rompetrol Downstream SRL, a downstream gas operator was fined €110,000 (546,073 RON) for a data breach affecting customer personal data, where data was accessed in an unauthorised manner and used to fraudulently obtain loans."
"DPA: AP (The Netherlands)",z2023-00037,Netherlands,,"5(1)(a), 6(1)(e), 14",,,"Complaint → Upheld","30000 EUR","Municipality of Voorschoten",'-,"The Dutch DPA fined the Municipality of Voorschoten € 30,000 for unlawfully tracking its residents’ waste consumption data through waste collection bins equipped with tracking chips."
"Court: Digitaliseringsstyrelsen","Decision against Meta of 30 October 2023",Denmark,30.10.2023,4(11),"ePrivacy Directive","Article 2(8) Cookiebekendtgørelsens
Article 3(1) Cookiebekendtgørelsens
Article 3(2)(4) Cookiebekendtgørelsens",,,"Meta Platforms Inc.",co,"The Danish Agency for Digital Government held that Meta breached the national implementation of Art. 5(3) of the ePrivacy Directive, ordering them to allow users to give separate consent for each overarching purpose, immediately withdraw consent, and to provide clear information about all cookies."
"Court: Digitaliseringsstyrelsen","Decision against Google of 30 October 2023",Denmark,30.10.2023,4(11),,"Article 2(8) Cookiebekendtgørelsens
Article 3 Cookiebekendtgørelsens",,,"Google LLC",ar,"The Danish Agency for Digital Government held that Google breached the national implementation of Art. 5(3) of the ePrivacy Directive, ordering them to allow users to give separate consent for each overarching purpose, immediately withdraw consent, and to provide clear information about all cookies."
"Court: Personvernnemnda",PVN-2023-06,Norway,10.10.2023,16,,,,,,sh,"The Norweigan Data Protection Appeals Board upheld the DPA's decision. A data subject's right to rectification of patient records was fulfilled even though not all the data was changed according to the data subject's request."
"DPA: AEPD (Spain)",PS-00129-2022,Spain,,"83(5), 32",,,"Complaint → Other Outcome",,,sh,"The Spanish DPA dropped an investigation due to time limitation periods for infringments outlined in national law."
"DPA: IP (Slovenia)",07141-9/2023/10,Slovenia,08.09.2023,"17(1), 17(3)(b), 58(2)",,"Article 43 of the National Prevention of Money Laundering and Terrorist Financing Act
Article 51 of the National Prevention of Money Laundering and Terrorist Financing Act","Complaint → Upheld",,"AJPES (Agency of the Republic of Slovenia for Public Legal Records and Related Services)",ar,"The Slovenian DPA ordered the Agency of the Republic of Slovenia for Public Legal Records and Related Services to comply with the complainant’s deletion request under Article 17 GDPR. Contrary to national law, the Agency had published the complainant’s full address, instead of only the country of residence."
"DPA: Datatilsynet (Denmark)",2023-432-0022,Denmark,14.11.2023,"5(1)(c), 6(1)(e), 9(2)(g)",,"§ 12(1) of the Danish Auditor General Act","Investigation → No Violation Found",,Rigsrevisionen,ar,"Following an inspection, the Danish DPA assessed that the Rigsrevisionen, an independent institution conducting auditing on government-funded agencies and enterprises, performs its auditing activities in compliance with Article 5(1)(c) GDPR."
"DPA: IP (Slovenia)","SI – 07101-5-2023-16",Slovenia,13.11.2023,15(1),,,"Complaint → Upheld",,,'-,"The Slovenian DPA held that while generally, a data subject is not entitled to the entirety of a controller’s processing log, they are entitled to be informed of its purposes of processing under Article 15(1)(a) GDPR."
"Court: LG München I",ECLI:DE:LGMS:2023:0704.16O238.22.00,Germany,04.07.2023,6(1)(f),,,,,,'-,"The Regional Court of Munich held that the rights of the data subject overrode the economic interests of a credit agency, and thus the agency was unable to rely on Article 6(1)(f) GDPR for processing."
"DPA: IDPC (Malta)",CDP_COMP_144_2022,Malta,,17,,,"Complaint → Partly Upheld",,,sh,"The Maltese DPA ordered a media company to add a no-index metatag to an news article within 20 days. This act fulfils a data subject's right to be forgotten."
"DPA: Datatilsynet (Denmark)",2023-212-0015,Denmark,17.11.2023,"6(1)(e), 6(3)",,,"Advisory Opinion",,,'-,"The Danish DPA rejected the City of Copenhagen’s plan to develop AI tools to identify citizens in need of rehabilitation, as the national law relied upon for the purposes of Article 6(1)(e) GDPR and Article 6(3) GDPR was not specific enough in relation to the scope of the AI’s use."
"DPA: IP (Slovenia)",0603-46/2023/13,Slovenia,26.10.2023,13,,"Article 100(1)(2) ZVOP-1
Article 100(3) ZVOP-1
Article 76(3) ZVOP-1","Investigation → Violation Found",,,"Sara Horvat","The DPA found the controller to have failed to ensure that the published video surveillance notice on its premises was displayed in a way to enable an individual to become aware of the video surveillance and to not enter the area surveilled."
"DPA: Garante per la protezione dei dati personali (Italy)",9955372,Italy,26.10.2023,"5(1)(c), 5(1)(e), 6(1)(c), 6(1)(e), 9(2)(g)",,"Article 166 Codice Privacy
Article 2-septies para 8 Codice Privacy
Article 2-ter Codice Privacy
Article 22 Decreto Legislativo No. 33 of 2013","Complaint → Upheld","20,000 EUR","Lombardy Region","Luca Brocca","The Italian DPA fined Lombardy Region €20,000 for breaching GDPR articles 5, 6(1)(c) and (e), and 9, relating to the improper dissemination of sensitive employment-related details. The case involved the unauthorized disclosure of personal data, including health information, of approximately 732 workers on the Region's website."
"DPA: Garante per la protezione dei dati personali (Italy)",9954220,Italy,,"5(1)(a), 5(1)(b), 5(1)(c), 5(1)(f), 9(2)(i)",,"Article 17-bis of Decree-Law no. 18/2020","Complaint → Upheld","40,000 EUR",,ar,"The Italian DPA fined a controller, a health care provider, €40,000 - since some of its employees were able to access other colleagues’ health files without consent while also breaching some of the principles of data processing pursuant to Article 5(1) GDPR."
"DPA: IMY (Sweden)",IMY-2023-1647,Sweden,,35(1),,,"Investigation → Violation Found","300,000 SEK",,sh,"The Swedish DPA fined Östersund's Childrens and Education Board 300,000 SEK (around €26,524) for failing to conduct a data protection impact assesment, as required by Article 35(1) GDPR, prior to installing Google Workspace for Education."
"Court: ArbG Duisburg","5 Ca 877/23",Germany,03.11.2023,"12, 12(3), 15",,"§121 BGB",,,,co,"A German Court held that a delay of 19 calendar days (9 working days) in responding to an access request caused a data subject a temporary loss of control over his personal data. For this reason, the court awarded him immaterial damages in the amount of €750."
"DPA: AZOP (Croatia)","Decision of 10 August 2023",Croatia,10.08.2023,"5, 6",,"Article 8 Media Act","Complaint → Upheld",,,co,"The Croatian DPA held that a media outlet unlawfully processed personal data of a data subject as the data was not publicly available and the public interest did not prevail over the right to privacy of the data subject."
"CJEU (Court of Justice of the European Union)","C807/21 Deutsche Wohnen","European Union",05.12.2023,"83(4), 83(5), 83(6)",,,,,,"Sophia Hassel","The CJEU ruled that administrative fines under Article 83(4) to (6) can be assigned to anyone who fits the definition of a controller. For the purpose of calculting fines, a controller will be considered an undertaking as defined by competition law and fined on its overall turnover. The ability to impose administrative fines is limited to where a party has breached the GDPR with intent or negligence."
"Court: BVwG","W256 2275675-1",Austria,12.10.2023,"12(3), 16",,"§38 AVG",,,,co,"An Austrian Court held that the Austrian DPA unlawfully suspended proceedings until delivery of a CJEU Judgement on the interpretation of Article 16 GDPR."
"DPA: IDPC (Malta)",CDP_COMP_583_2022,Malta,,16,,,"Complaint → Upheld",,,sh,"The Maltese DPA ordered a controller to rectify a record for international protection under Article 16 GDPR."
"DPA: APD/GBA (Belgium)","DOS-2020-05649 and DOS-2021-05271",Belgium,10.11.2023,"5(1)(a), 6, 7(3), 12, 12(1), 13(1)(a), 13(1)(c), 13(2)",,"Articles 5, 8.1 and 8.3 of the Belgian Law dd 8 August 1983 organizing a National Register of Natural Persons","Complaint → Upheld",,"Madame X1 and Monsieur X2
Société Y1 and Société Y2 (or 'Platform Z')",'-,"The Belgian DPA reprimanded a controller, an online booking platform, for failing to comply with Article 12(3) GDPR and because Article 6(1)(f) GDPR was not a valid legal basis to publish personal data of health professionals on the platform."
"DPA: Datatilsynet (Denmark)",2023-432-0016,Denmark,27.11.2023,"4(11), 5(1), 6(1)(a), 9(2)(a)",,,"Investigation → Violation Found",,"The Central Denmark Region",ar,"Examining the publication by a hospital of patients' data on Instagram, the Danish DPA found a violation of Article 6(1)(a) and Article 9(2)(a) GDPR. The DPA stated that the processing could not be based on consent since, due to the power asymmetries between patients and the hospital, patients could not have given their consent freely."
"DPA: Garante per la protezione dei dati personali (Italy)",9955735,Italy,26.10.2023,"5(1)(a), 5(1)(c), 5(1)(d), 12",,"Article 137 Codice Privacy
Article 139 Codice Privacy
Article 157 Codice Privacy
Article 2 Codice Privacy","Complaint → Upheld","20000 EUR","Edizioni Proposta Sud S.r.l.","Luca Brocca","A complaint was brought to the Italian DPA against Edizioni Proposta Sud S.r.l. for disseminating inaccurate personal data. The DPA imposed a €20,000 fine and a prohibition on further data dissemination on the controller for violating Article 5 GDPR and Article 12 GDPR."
"CJEU (Court of Justice of the European Union)","C‑634/21 SCHUFA","European Union",07.12.2023,"22(1), 22(2)(b)",,"§31 Bundesdatenschutzgesetz",,,Schufa,'-,"The CJEU held a credit score is a decision for the purposes of Article 22(1) GDPR, where an action taken by a third party ‘draws strongly’ from it."
"DPA: Datatilsynet (Denmark)",2023-432-0025,Denmark,09.11.2023,"5(1)(f), 5(2), 24(1), 32(1)",,,"Investigation → Violation Found",,Digitaliseringsstyrelsens,ar,"The Danish DPA reprimanded the Agency for Digital Government for having used JavaScript in connection with MitID, the Danish digital ID. Even though there were widely known concerns with the programming language, the Agency utilised it without conducting a prior risk assessment, breaching, among others, Article 32(1) GDPR."
"DPA: APD/GBA (Belgium)",141/2023,Belgium,16.10.2023,5(2),,,"Complaint → Rejected",,,'-,"The Belgian DPA dismissed a complaint regarding disclosure of data by the communications officer of a political party to unauthorized persons, because the data subject had not provided sufficient evidence that their rights were violated."
"DPA: APD/GBA (Belgium)",141-2023,Belgium,,"77, 12(3), 12(4), 5(2)",,"Article 95 Loi du 3 décembre 2017 portant création de l'Autorité de protection des données (LCA).","Complaint → Rejected",,,'-,"The Belgian DPA dismissed a complaint regarding the unlawful disclosure of the data subject's personal data by the communications officer of a political party. Counter to the recent CJEU judgement of Joined Cases C‑26/22 and C‑64/22 - SCHUFA, the DPA decided not to investigate the matter given the lack of ""high personal impact""."
"CJEU (Court of Justice of the European Union)","Joined Cases C‑26/22 and C‑64/22 SCHUFA","European Union",07.12.2023,"6(1), 17(1)(d), 40, 77(1), 78(1)","Article 79 Regulation(EU) 2015/848 on insolvency proceedings
Article 7 Charter of Fundamental Rights of the European Union
Article 8 Charter of Fundamental Rights of the European Union","§ 3 Verordnung zu öffentlichen Bekanntmachungen in Insolvenzverfahren im Internet (InsBekV)
§ 9(1) Insolvenzordnung",,,"UF (data subject and claimant before national court)
AB (data subject and claimant before national court)
Land Hessen (respondent before national court)",'-,"The CJEU held that Article 78(1) GDPR allows for full judicial review of DPA decisions and that credit information agencies are not allowed to process certain data in connection with insolvency proceedings beyond their availability in public databases."
"DPA: Persónuvernd (Island)","Mál nr. 2022050836",Iceland,,"5(1)(a), 8(2)",,,"Complaint → Upheld",,,sh,"The Icelandic DPA reprimanded a controller for collecting data for one purpose and then using it for another."
"Court: Cour Administrative",48964C,Luxembourg,28.11.2023,"77(2), 78(2)",,"Article 55 National Data Protection Law",,,,ar,"The Luxembourgish Administrative Court decided that the complainant’s appeal of a DPA’s non-decision was admissible as Articles 77 and 78 GDPR were applicable and sent back the judgement to the Administrative Tribunal since the Tribunal was wrong to declare inadmissible the complainant’s appeal."
"DPA: Garante per la protezione dei dati personali (Italy)",9963509,Italy,26.10.2023,"5, 6, 9(1), 9(2)(j), 9(4), 14, 35, 36, 89(1)",,"Article 110 Codice Privacy","Advisory Opinion",,"Azienda Ospedaliero Universitaria Città della Salute e della Scienza di Torino","Luca Brocca","Following a request for prior consultation under Article 36 GDPR, the Italian DPA authorised a Hopital to process the health data of deceased patients in two medical studies."
"Court: GRC","Miles v Information Commissioner","United Kingdom",10.11.2023,,,"Section 165(2), DPA
Section 166, DPA",,,"David Miles
The Information Commissioner","Gazal Gupta","The decision highlights the Tribunal's role in assessing the appropriateness of the Information Commissioner's actions in response to complaints, not the merits of the complaint itself."
"DPA: AEPD (Spain)",PS-00371-2021,Spain,27.04.2022,"5(1)(f), 32, 58(2)(d), 60, 83(2), 83(4)(a), 83(5)(a)",,"Article 63(2) LOPDGDD
Article 71 LOPDGDD
Article 72(1)(a) LOPDGDD
Article 73(f) LOPDGDD","Complaint → Upheld",,"HERTZ DE ESPAÑA, S.L.",Marie04,"The Spanish DPA held that sending someone notifications regarding monetary fines directed at another person constitutes a violation of Article 5(1)(f) GDPR. As the respective data was not rectified in time after receiving a complaint, it also resulted in a breach of Article 32 GDPR."
"DPA: Persónuvernd (Island)",2022020416,Iceland,06.12.2023,"5, 6(4), 24, 25, 28, 35(7), 44, 58(2)(d), 83(2)",,,"Investigation → Violation Found","2,000,000 ISK",,co,"The Icelandic DPA imposed a fine in the amount of 2,000,000 ISK on the City of Reykjavík for several GDPR violations in relation to the use of Google's cloud services in elementary schools."
"DPA: Garante per la protezione dei dati personali (Italy)",9960875,Italy,16.11.2023,"12(3), 15",,,"Complaint → Upheld","40000 EUR","Amazon Italia Transport s.r.l.",ar,"The Italian DPA fined Amazon Italia Transport s.r.l. €40,000 for failing to comply with the access request of the complainant within the time limit set by Article 12(3) GDPR."
"DPA: Persónuvernd (Island)",2022020363,Iceland,,"5, 6, 24, 25, 28(1), 28(3), 35(7), 44, 58(2)(d), 83(2)",,,"Investigation → Violation Found","2000000 ISK",,co,"The Icelandic DPA imposed a fine in the amount of €13,270 (ISK 2,000,000) on the City of Reykjavík for several GDPR violations in relation to the use of Google Cloud Services in primary schools."
"DPA: DPC (Ireland)","Microsoft Operations Ireland Limited",Ireland,15.11.2023,"12(4), 17, 58(2)(b)",,,"Complaint → Upheld",,"Microsoft Operations Ireland Limited",Gauravpathak,"The Irish DPC reprimanded Microsoft Operations Ireland Limited for failing to inform the data subject about the availability of a judicial remedy and for not erasing personal data upon request, thereby violating Article 12(4) and Article 17 GDPR."
"CJEU (Court of Justice of the European Union)","C‑340/21 Natsionalna agentsia za prihodite","European Union",14.12.2023,"5, 24, 32, 82",,,,,,sh,"The CJEU ruled that the fear of a data subject over the possible misuse of their data from a data breach counts as a non-material damage and can lead to financial compensation from the controller. The burden of proof is on the controller to prove that appropriate measures were adopted against the cyberattack."
"Court: LG Frankfurt am Main","2-24 O 156/21",Germany,26.05.2023,"6(1)(b), 6(1)(f), 80(1), 80(2)",,,,,,co,"A German Court ordered an energy provider to cease and desist from using two unlawful clauses in its general terms and conditions in violation of Article 6(1)(b) GDPR and Article 6(1)(f) GDPR."
"Court: BVwG","W108 2263948-1/4E",Austria,18.10.2023,"1, 5, 12, 22, 22(2), 34",,"§ 1 DSG
§ 56 DSG",,,,"Gabriel Frickh","An Austrian Court held that an automatic e-mail account lock by an algorithm due to suspect activity cannot be considered an automated decision producing legal or similarly significant effects on the data subject within the meaning of Article 22(1) GDPR."
"DPA: Garante per la protezione dei dati personali (Italy)",9960948,Italy,,"5(1)(f), 32(1)(b), 32(1)(d)",,,"Complaint → Upheld","18000 EUR","Cluster S.r.l.",Carloc,"The Italian data protection authority fined a conference company €18,000 for leaking an expert opinion that included sensitive data and data related to the criminal offences of a minor."
